Datetime,Open,High,Low,Close,Adj Close,Volume
2023-01-03 09:30:00-05:00,170.6999969482422,173.8699951171875,168.0500030517578,168.73500061035156,168.73500061035156,370452
2023-01-03 10:30:00-05:00,168.77000427246094,169.33999633789062,167.3300018310547,167.8000030517578,167.8000030517578,221643
2023-01-03 11:30:00-05:00,168.0500030517578,168.0500030517578,167.0399932861328,167.58999633789062,167.58999633789062,286452
2023-01-03 12:30:00-05:00,167.6300048828125,169.3300018310547,167.5050048828125,169.25999450683594,169.25999450683594,184767
2023-01-03 13:30:00-05:00,169.3000030517578,169.875,168.92999267578125,169.35499572753906,169.35499572753906,209897
2023-01-03 14:30:00-05:00,169.38999938964844,170.5399932861328,169.02499389648438,169.81500244140625,169.81500244140625,295656
2023-01-03 15:30:00-05:00,169.8175048828125,170.27000427246094,169.3000030517578,169.35000610351562,169.35000610351562,333272
2023-01-04 09:30:00-05:00,171.30999755859375,173.16000366210938,169.72000122070312,170.36000061035156,170.36000061035156,298641
2023-01-04 10:30:00-05:00,170.3800048828125,171.39999389648438,169.0800018310547,170.97999572753906,170.97999572753906,165016
2023-01-04 11:30:00-05:00,170.9600067138672,172.22000122070312,170.8300018310547,171.1699981689453,171.1699981689453,120385
2023-01-04 12:30:00-05:00,171.19000244140625,171.64999389648438,170.78500366210938,171.55999755859375,171.55999755859375,173576
2023-01-04 13:30:00-05:00,171.63999938964844,171.8800048828125,169.21499633789062,169.23500061035156,169.23500061035156,213462
2023-01-04 14:30:00-05:00,169.13999938964844,171.4698944091797,168.99000549316406,171.0,171.0,213681
2023-01-04 15:30:00-05:00,170.9600067138672,171.3699951171875,169.5449981689453,171.22000122070312,171.22000122070312,328263
2023-01-05 09:30:00-05:00,167.52000427246094,167.52000427246094,161.25999450683594,162.57000732421875,162.57000732421875,594175
2023-01-05 10:30:00-05:00,162.5749969482422,162.72000122070312,160.74000549316406,161.3249969482422,161.3249969482422,442273
2023-01-05 11:30:00-05:00,161.2100067138672,161.42999267578125,159.2899932861328,159.57000732421875,159.57000732421875,272847
2023-01-05 12:30:00-05:00,159.57000732421875,160.24000549316406,157.85000610351562,159.9149932861328,159.9149932861328,290327
2023-01-05 13:30:00-05:00,159.9199981689453,161.1699981689453,159.8300018310547,161.0,161.0,279718
